MeetingDate,Meeting_unscheduled
2013-01-30 00:00:00,0
2013-03-20 00:00:00,0
2013-05-01 00:00:00,0
2013-06-19 00:00:00,0
2013-07-31 00:00:00,0
2013-09-18 00:00:00,0
2013-10-16 00:00:00,1
2013-10-30 00:00:00,0
2013-12-18 00:00:00,0
2014-01-29 00:00:00,0
2014-03-04 00:00:00,1
2014-03-19 00:00:00,0
2014-04-30 00:00:00,0
2014-06-18 00:00:00,0
2014-07-30 00:00:00,0
2014-09-17 00:00:00,0
2014-10-29 00:00:00,0
2014-12-17 00:00:00,0
2015-01-28 00:00:00,0
2015-03-18 00:00:00,0
2015-04-29 00:00:00,0
2015-06-17 00:00:00,0
2015-07-29 00:00:00,0
2015-09-17 00:00:00,0
2015-10-28 00:00:00,0
2015-12-16 00:00:00,0
2016-01-27 00:00:00,0
2016-03-16 00:00:00,0
2016-04-27 00:00:00,0
2016-06-15 00:00:00,0
2016-07-27 00:00:00,0
2016-09-21 00:00:00,0
2016-11-02 00:00:00,0
2016-12-14 00:00:00,0
2017-02-01 00:00:00,0
2017-03-15 00:00:00,0
2017-05-03 00:00:00,0
2017-06-14 00:00:00,0
2017-07-26 00:00:00,0
2017-09-20 00:00:00,0
2017-11-01 00:00:00,0
2017-12-13 00:00:00,0
2018-01-31 00:00:00,0
2018-03-21 00:00:00,0
2018-05-02 00:00:00,0
2018-06-13 00:00:00,0
2018-08-01 00:00:00,0
2018-09-26 00:00:00,0
